"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Julian Smith ","@JulianSmithUK","Conservative","Skipton and Ripon",32501,-9
"Julian Knight ","@julianknight15","Conservative","Solihull",11018,5
"Julia Lopez","@JuliaLopezMP","Conservative","Hornchurch and Upminster",5751,6
"Judith Cummins ","@JudithCummins","Labour","Bradford South",13407,4
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",15371,124
"Jonathan Reynolds ","@jreynoldsMP","Labour","Stalybridge and Hyde",46427,6
"Jonathan Lord","@JonathanLord","Conservative","Woking",2128,2
"Jonathan Djanogly ","@JDjanogly","Conservative","Huntingdon",18868,-4
"Jonathan Ashworth ","@JonAshworth","Labour","Leicester South",93878,155
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",32279,14
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",20120,-5
"Johnny Mercer ","@JohnnyMercerUK","Conservative","Plymouth, Moor View",80467,-7
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",8913,0
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",8447,1
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",12544,4
"John Spellar ","@spellar","Labour","Warley",10222,-5
"John Redwood ","@johnredwood","Conservative","Wokingham",88437,167
"John Penrose ","@JohnPenroseNews","Conservative","Weston-super-Mare",37647,1
"John Nicolson ","@MrJohnNicolson","Scottish National Party","Ochil and South Perthshire",31356,-7
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",287128,30
"John Lamont","@John2Win","Conservative","Berwickshire, Roxburgh and Selkirk",10776,-1
"John Howell ","@JHowellUK","Conservative","Henley",6861,4
"John Healey ","@JohnHealey_MP","Labour","Wentworth and Dearne",28629,-4
"John Glen ","@JohnGlenUK","Conservative","Salisbury",22102,10
"John Finucane","@johnfinucane","Sinn Féin","Belfast North",24235,-3
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",5518,1
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",102460,12
"Jo Stevens ","@JoStevensLabour","Labour","Cardiff Central",30051,20
"Jo Gideon","@jogideon","Conservative","Stoke-on-Trent Central",3434,5
"Jo Churchill ","@Jochurchill4","Conservative","Bury St Edmunds",11324,7
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",2721,-2
"Jim McMahon ","@JimfromOldham","Labour","Oldham West and Royton",25074,-1
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",12891,-5
"Jesse Norman ","@Jesse_Norman","Conservative","Hereford and South Herefordshire",26303,-1
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",407208,748
"Jerome Mayhew","@JeromeMayhew","Conservative","Broadland",1829,1
"Jeremy Hunt ","@Jeremy_Hunt","Conservative","South West Surrey",217844,3
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2434932,82
"Jeffrey M. Donaldson ","@J_Donaldson_MP","Democratic Unionist Party","Lagan Valley",20361,-5
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",10186,1
"Jason McCartney ","@JasonMcCartney","Conservative","Colne Valley",17598,-2
"Janet Daby","@JanetDaby","Labour","Lewisham East",10617,-1
